name,original_name,type,network,original_server,original_ip,original_provider,bug_sni,output_server,port,status,tier,bug_best_delay_ms,bug_avg_delay_ms,bug_jitter_ms,bug_success_count,ws_upgrade_ms,ws_success_count,ws_status,original_best_delay_ms,original_success_count,attempts,score,source,reason
>>@oneclickvpnkeys::US,,vless,ws,188.114.97.6,,,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,BACKUP ≤1200ms,159,473,944,3,159,3,101,,0,3,1008,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@oneclickvpnkeys::US,,vless,ws,188.114.99.0,,,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,114,132,56,3,114,3,101,,0,3,164,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@oneclickvpnkeys::US,,vless,ws,208.103.161.32,,,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,110,139,47,3,110,3,101,,0,3,152,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@FreakConfig::US,,vless,ws,one-for-all.levikogjgfdd.ir,,,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,FAST ≤123ms,116,139,35,3,116,3,101,,0,3,147,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@v2rayng_fast::US,,vless,ws,millionaire.levikogjgfdd.ir,,,josni.hoyes.cloudns.ch,104.17.3.81,443,alive,BACKUP ≤1200ms,141,154,27,3,141,3,101,,0,3,165,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
AKUN-027-VEESP-VLESS-WS-168MS,>>@oneclickvpnkeys::NL,vless,ws,82.115.6.93,82.115.6.93,VEESP,kuraakavaa-5l7.pages.dev,104.17.3.81,443,alive,BACKUP ≤1200ms,168,293,337,3,168,3,101,,0,3,471,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped; URL test ok
AKUN-052-CLOUDFLARE-VLESS-WS-116MS,>>@oneclickvpnkeys::US,vless,ws,188.114.96.3,188.114.96.3,CLOUDFLARE,maSterserVeR1-VSH.KaLlEH.WORkERs.DEV,104.17.3.81,443,alive,FAST ≤123ms,116,476,1042,3,116,3,101,,0,3,1053,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server alive + original skipped
>>@oneclickvpnkeys::US,,vless,ws,vpn.renshengxuanze.ccwu.cc,,,vpn.renshengxuanze.ccwu.cc,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
>>@oneclickvpnkeys::US,,vless,ws,www.speedtest.net,,,BPb-E234adb8.xjGcjHVjkV.WorKERs.DEV,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
>>@FreakConfig::US,,vless,ws,172.67.186.142,,,YDqbCJ3IE4sqJux1AH93x.l9yawn7wAgNMFd0-CnzjnDC1U24q.Workers.dEV,104.17.3.81,443,dead,,,,,0,,0,429,,0,3,1000599,https://raw.githubusercontent.com/arshiacomplus/v2rayExtractor/refs/heads/main/mix/sub.html,bug server gagal: ws upgrade gagal: 429
